"Discussion, original","Attendees, original","Discussion, kaava","Attendees, kaava","Discussion, kaava","Attendees, kaava","Discussion, yhdistetty","Attendees, yhdistetty",Date text,Kaava pvm,"kaava, eka pvm","kaava, määräävä rivi",Date,"Date, original",Location,,,Source,Topics,link
Chinese president says #China-#S. Korea ties at best in history,Xi Jinping,Chinese president says #China-#S. Korea ties at best in history,Xi Jinping,Chinese president says #China-#S. Korea ties at best in history,Xi Jinping,"#China, #S. Korea reiterate denuclearization of Korean Peninsula, #China, #S. Korea agree to open RMB clearing service in Seoul, #S.Korea, #China agree to launch Won-Yuan trading market in Seoul, #China, #S. Korea vow to finish FTA talks before end of 2014, #China, #S. Korea to enhance people-to-people exchanges, Xi Jinping Meets with Speaker of National Assembly Chung Ui-hwa of the #ROK #China, Xi Jinping Meets with Prime Minister Jung Hong-won of #ROK #China, Xi encourages more #S. Korean investment in #China, Chinese president ends visit to #S. Korea #China, Chinese president applauds #China-#South Korea ties, Xi, Park share concerns over Japan's constitution reinterpretation #China #S. Korea, Chinese president says #China-#S. Korea ties at best in history","Xi Jinping, Xi Jinping, Xi Jinping, Geun-hye Park, Xi Jinping, Geun-hye Park, Xi Jinping, Geun-hye Park, Xi Jinping, Ui-Hwa Chung, Xi Jinping, Hong-won Jung, Xi Jinping, Geun-hye Park, Xi Jinping, Xi Jinping, Hong-won Chung, Xi Jinping, Geun-hye Park, Xi Jinping",3.7.2014 - 4.7.2014,4.7.2014,4.7.2014,TRUE,4.7.2014,"July 04, 2014",Republic of Korea,Seoul,,http://news.xinhuanet.com/english/china/2014-07/04/c_133461029.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=20140
Chinese president attends sending-off ceremony in Brugge #China #Belgium,"Xi Jinping,  Philippe",Chinese president attends sending-off ceremony in Brugge #China #Belgium,"Xi Jinping,  Philippe",Chinese president attends sending-off ceremony in Brugge #China #Belgium,"Xi Jinping,  Philippe","Xi expects his visit to boost #China's ties with #Belgium, #Europe, Chinese president arrives in Brussels for state visit #China #Belgium, Chinese president calls for building four major partnerships with #EU #China, #China, #Belgium form all-round partnership of friendship, cooperation, Chinese president praises Belgian parliament speaker for promoting ties #China #Belgium, Chinese president attends state banquet in Brussels #Belgium #China, Chinese president calls for win-win cooperation between #China, #EU, Chinese president attends sending-off ceremony in Brugge #China #Belgium","Xi Jinping, Liyuan Peng,  Philippe,  Mathilde, Xi Jinping, Liyuan Peng, Elio Di Rupo, Xi Jinping, Herman Van Rompuy, Xi Jinping, Elio Di Rupo, Xi Jinping, Andre Flahaut, Xi Jinping, Liyuan Peng,  Philippe,  Mathilde, Xi Jinping, Jose Manuel Barroso, Xi Jinping,  Philippe",30.3.2014 - 1.4.2014,1.4.2014,1.4.2014,TRUE,1.4.2014,"April 01, 2014",Belgium,Brugge,,http://news.xinhuanet.com/english/photo/2014-04/02/c_133233215.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=19397
"President Xi calls on #China, #Germany to build Silk Road economic belt
","Xi Jinping, Sigmar Gabriel, Hannelore Kraft, Soren Link","President Xi calls on #China, #Germany to build Silk Road economic belt
","Xi Jinping, Sigmar Gabriel, Hannelore Kraft, Soren Link","President Xi calls on #China, #Germany to build Silk Road economic belt
","Xi Jinping, Sigmar Gabriel, Hannelore Kraft, Soren Link","Xin Jinping Holds Talks with Angela Merkel, Announcing the Establishment of #China-#Germany All-Round Strategic Partnership, #China, #Germany vow to push for open world economy, Chinese, German presidents meet on ties #China #Germany, #China, #Germany establish comprehensive strategic partnership, Chinese president reaffirms adherence to peaceful development, Xi Jinping Visits Chinese Youth Football Players Trained in #Germany #China, Xi urges German entrepreneurs to seize ""#China opportunities"" #Germany, President Xi calls on #China, #Germany to build Silk Road economic belt
","Xi Jinping, Angela Merkel, Xi Jinping, Xi Jinping, Joachim Gauck, Xi Jinping, Angela Merkel, Xi Jinping, Xi Jinping, Xi Jinping, Xi Jinping, Sigmar Gabriel, Hannelore Kraft, Soren Link",28.3.2014 - 29.3.2014,29.3.2014,29.3.2014,TRUE,29.3.2014,"March 29, 2014",Germany,Düsseldorf,,http://english.chinamil.com.cn/,,http://www.chinavitae.com//vip/index.php?mode=show&id=19381
Chinese president meets #UNESCO chief in Paris #China,"Xi Jinping, Irina Bokova",Chinese president meets #UNESCO chief in Paris #China,"Xi Jinping, Irina Bokova",Chinese president meets #UNESCO chief in Paris #China,"Xi Jinping, Irina Bokova","Chinese president arrives in Lyon for #France visit #China, Xi Jinping Holds Talks with French President François Hollande, Opening up the New Era of a Close and Enduring #China-#France Comprehensive and Strategic Partnership, #China, #France vow to boost financial, nuclear cooperation, Chinese, French presidents hold talks, blueprinting bilateral relationship #China #France, Xi meets French friends during visit to Charles de Gaulle Foundation in Paris #China #France, #China, #France vow to strengthen dialogue, promote cooperation, Chinese president meets French PM in Paris #China #France, Chinese president visits Biomerieux research center, urges further health cooperation #China #France, Chinese, French presidents pledge to open new era for bilateral ties #China #France, Xi lays wreath of flowers at Tomb of Unknown Soldier in Paris #China #France, Chinese president meets #UNESCO chief in Paris #China","Xi Jinping, Liyuan Peng, Xi Jinping, Francois Hollande, Xi Jinping, Francois Hollande, Xi Jinping, Francois Hollande, Xi Jinping, Xi Jinping, Xi Jinping, Jean-Marc Ayrault, Xi Jinping, Xi Jinping, Francois Hollande, Xi Jinping, Xi Jinping, Irina Bokova",25.3.2014 - 27.3.2014,27.3.2014,27.3.2014,TRUE,27.3.2014,"March 27, 2014",France,Paris,,http://news.xinhuanet.com/english/china/2014-03/27/c_133219406.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=19356
Chinese president meets British PM on ties #China #Britain,"Xi Jinping, David Cameron",Chinese president meets British PM on ties #China #Britain,"Xi Jinping, David Cameron",Chinese president meets British PM on ties #China #Britain,"Xi Jinping, David Cameron","Chinese president arrives in #Netherlands for state visit, nuclear summit #China, Chinese president arrives in #Netherlands for state visit, nuclear summit #China, Chinese, ROK presidents meet on cooperation, Korean Peninsula situation #South Korean #China, #China, #Netherlands to build open, pragmatic partnership, #China, #Netherlands to build open, pragmatic partnership, #China, #U.S. reaffirm commitment to promote new type of major-country ties, Chinese president meets #Dutch parliamentary leaders #China, Chinese president attends nuclear security summit #China #Dutch, Chinese president says his Europe visit aims for peace, cooperation #China #Dutch, Xi elaborates on #China's approach to nuclear security, #China willing to join #U.S. in promoting new model for major-country ties: Xi, Chinese president calls for fair, win-win system of global nuclear security #China #the Netherlands, Chinese president meets British PM on ties #China #Britain","Xi Jinping, Liyuan Peng,  Willem-Alexander,  Queen Maxima, Xi Jinping, Xi Jinping, Wang Yi, Geun-hye Park, Xi Jinping,  Willem-Alexander, Xi Jinping, Mark Rutte, Xi Jinping, Barack Obama, Xi Jinping, Ankie Broekers-Knol, Anouchka van Miltenburg, Xi Jinping, Xi Jinping, Xi Jinping, Xi Jinping, Barack Obama, Xi Jinping, Xi Jinping, David Cameron",22.3.2014 - 25.3.2014,25.3.2014,25.3.2014,TRUE,25.3.2014,"March 25, 2014",Netherlands,The Hague,,http://news.xinhuanet.com/english/china/2014-03/25/c_133213327.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=19338
Xi looking forward to meeting with Obama #China,"Xi Jinping, Liyuan Peng, Michelle Obama",Xi looking forward to meeting with Obama #China,"Xi Jinping, Liyuan Peng, Michelle Obama",Xi looking forward to meeting with Obama #China,"Xi Jinping, Liyuan Peng, Michelle Obama",Xi looking forward to meeting with Obama #China,"Xi Jinping, Liyuan Peng, Michelle Obama",21.3.2014,21.3.2014,21.3.2014,TRUE,21.3.2014,"March 21, 2014",,,,http://news.xinhuanet.com/english/china/2014-03/21/c_133204948.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=19304
Xi hails development of #China-#Russia ties,Xi Jinping,Xi hails development of #China-#Russia ties,Xi Jinping,Xi hails development of #China-#Russia ties,Xi Jinping,"Chinese president meets #IOC president #China, Chinese, Russian presidents hold talks on bilateral ties #Russia #China, Xi, Putin hail Chinese, Russian sailors escorting Syrian chemical weapons shipments #China #Russia, Chinese president, UN chief vow to promote world peace, development, Chinese, Greek presidents eye enhanced cooperation #China #Greece, Xi gives interview to Russian TV on multiple topics #Russia #China, Sochi Winter Olympics opens, Chinese president attends opening ceremony #Russia #China, Chinese, Czech presidents pledge to expand cooperation #China #the Czech Republic, Chinese, Afghan presidents agree to promote ties #Russia #China, Xi boosts Chinese athletes' morale in Sochi #China #Russia, Xi hails development of #China-#Russia ties","Xi Jinping, Thomas Bach, Xi Jinping, Vladimir Putin, Xi Jinping, Vladimir Putin, Xi Jinping, Ki-moon Ban, Xi Jinping, Karolos Papoulias, Xi Jinping, Xi Jinping, Xi Jinping, Milos Zeman, Xi Jinping, Hamid Karzai, Xi Jinping, Xi Jinping",6.2.2014 - 8.2.2014,8.2.2014,8.2.2014,TRUE,8.2.2014,"February 08, 2014",Russia,Sochi,,http://news.xinhuanet.com/english/china/2014-02/09/c_133100705.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=19057
Xi Jinping to lead national security commission #China,"Xi Jinping, Li Keqiang, Zhang Dejiang",Xi Jinping to lead national security commission #China,"Xi Jinping, Li Keqiang, Zhang Dejiang",Xi Jinping to lead national security commission #China,"Xi Jinping, Li Keqiang, Zhang Dejiang",Xi Jinping to lead national security commission #China,"Xi Jinping, Li Keqiang, Zhang Dejiang",24.1.2014,24.1.2014,24.1.2014,TRUE,24.1.2014,"January 24, 2014",,,,http://news.xinhuanet.com/english/china/2014-01/24/c_133071876.htm,,http://www.chinavitae.com//vip/index.php?mode=show&id=18983
Chinese president offers condolences to typhoon-hit #Philippines #China,Xi Jinping,Chinese president offers condolences to typhoon-hit #Philippines #China,Xi Jinping,Chinese president offers condolences to typhoon-hit #Philippines #China,Xi Jinping,Chinese president offers condolences to typhoon-hit #Philippines #China,Xi Jinping,13.11.2013,13.11.2013,13.11.2013,TRUE,13.11.2013,"November 13, 2013",,,,http://news.xinhuanet.com/english/china/2013-11/13/c_132885364.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=18505
Chinese president urges developing connectivity in #Asia Pacific #China,Xi Jinping,Chinese president urges developing connectivity in #Asia Pacific #China,Xi Jinping,Chinese president urges developing connectivity in #Asia Pacific #China,Xi Jinping,"#Chinese president arrives in Bali island for #APEC meeting, #China, #Thailand vow to advance bilateral, China-ASEAN ties, China, Chile pledge to further cooperation, Chinese president says central gov't support to #Hong Kong consistent, firm #China, #China, #New Zealand pledge to further ties, cooperation, Chinese, Australian leaders pledge to boost ties #China #Australia, Xi meets Taiwan politician ahead of APEC gathering, #China committed to regional peace, development: Xi Jinping, #China to join #Russia in maintaining security in Asia-Pacific: Xi, Group photo of leaders and their spouses at #APEC summit meeting, Chinese president urges efforts to boost FTA talks with #S. Korea #China, Chinese president warns against patchy global trade regime #China #APEC, Xi Jinping said that #the Asia-Pacific Economic Cooperation (#APEC) should play a leading role in maintaining and advancing an open world economy #China, #China sticks to denuclearization of #Korean Peninsula, Chinese president says #South Korea, Chinese president urges developing connectivity in #Asia Pacific #China","Xi Jinping, Xi Jinping, Yingluck Shinawatra, Xi Jinping, Sebastian Pinera, Xi Jinping, Leung Chun-ying, Xi Jinping, John Key, Xi Jinping, Tony Abbott, Xi Jinping, Vincent Siew, Xi Jinping, Xi Jinping, Vladimir Putin, Xi Jinping, Susilo Bambang Yudhoyono, Xi Jinping, Geun-hye Park, Xi Jinping, Xi Jinping, Xi Jinping, Geun-hye Park, Xi Jinping",5.10.2013 - 8.10.2013,8.10.2013,8.10.2013,TRUE,8.10.2013,"October 08, 2013",Indonesia,Bali,,http://news.xinhuanet.com/english/china/2013-10/08/c_132780065.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=18194
Xi Jinping metets with Malaysian Prime Minister Najib Razak,"Xi Jinping, Najib Razak",Xi Jinping metets with Malaysian Prime Minister Najib Razak,"Xi Jinping, Najib Razak",Xi Jinping metets with Malaysian Prime Minister Najib Razak,"Xi Jinping, Najib Razak","Chinese president arrives in Kuala Lumpur for state visit #China #Malaysia, Chinese president addresses #China-#Malaysia Economic Summit, Xi addresses welcoming luncheon hosted by overseas #Chinese in Kuala Lumpur #China, Welcoming ceremony held for visiting Chinese president in #Malaysia #China, #China ready to work with #Malaysia for more fruitful ties: Xi, Xi Jinping metets with Malaysian Prime Minister Najib Razak","Xi Jinping, Xi Jinping, Najib Razak, Xi Jinping, Xi Jinping, Abdul Halim, Xi Jinping, Abdul Halim, Xi Jinping, Najib Razak",3.10.2013 - 4.10.2013,4.10.2013,4.10.2013,TRUE,4.10.2013,"October 04, 2013",Malaysia,Kuala Lumpur,,http://news.xinhuanet.com/english/china/2013-10/04/c_132772103.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=18148
"Chinese, Indonesian presidents chart course of future bilateral cooperation #China #Indonesia","Xi Jinping, Susilo Bambang Yudhoyono","Chinese, Indonesian presidents chart course of future bilateral cooperation #China #Indonesia","Xi Jinping, Susilo Bambang Yudhoyono","Chinese, Indonesian presidents chart course of future bilateral cooperation #China #Indonesia","Xi Jinping, Susilo Bambang Yudhoyono","#China proposes establishing Asian infrastructure investment bank #Indonesia, Chinese, Indonesian presidents agree to lift ties to comprehensive strategic partnership, President Xi Jinping Visits a Photography Exhibition on Sino-Indonesian Friendship and Expects the Young People of the Two Countries to Build a Bridge of Friendship between the Chinese and Indonesian People #Chiha #Indonesia, Chinese president stresses peaceful solution to South #China Sea disputes, #China, #Indonesia call for efforts to maintain peace in South China Sea, #China, #Indonesia aim for 80 bln dollars in bilateral trade by 2015, Chinese, Indonesian presidents chart course of future bilateral cooperation #China #Indonesia","Xi Jinping, Susilo Bambang Yudhoyono, Xi Jinping, Susilo Bambang Yudhoyono, Xi Jinping, Xi Jinping, Xi Jinping, Susilo Bambang Yudhoyono, Xi Jinping, Xi Jinping, Susilo Bambang Yudhoyono",2.10.2013 - 3.10.2013,3.10.2013,3.10.2013,TRUE,3.10.2013,"October 03, 2013",Indonesia,Jakarta,,http://news.xinhuanet.com/english/china/2013-10/04/c_132771091.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=18142
"Xi Jinping attends 13th SCO summit in Bishkek, #Kyrgyzstan #China","Xi Jinping, Wang Yi, Yang Jiechi","Xi Jinping attends 13th SCO summit in Bishkek, #Kyrgyzstan #China","Xi Jinping, Wang Yi, Yang Jiechi","Xi Jinping attends 13th SCO summit in Bishkek, #Kyrgyzstan #China","Xi Jinping, Wang Yi, Yang Jiechi","Chinese president in #Kyrgyzstan for state visit, SCO summit #China, Chinese president calls for more trade between #China's Xinjiang, #Kyrgyzstan, Xi Jinping met with Kyrgyz Parliament Speaker Asylbek Zheenbekov and urged the two sides to further promote bilateral cooperation #China #Kyrgyzstan, #China, #Kyrgyzstan agree to boost cooperation on security, Chinese president meets Kyrgyz PM in Bishkek, #Kyrgyzstan #China, #China, #Kyrgyzstan vow to boost economic cooperation, #China willing to make constructive effort on Iranian nuke talks: president #Iran, Chinese, Mongolian presidents meet on promoting cooperation #Mongolia #China , Chinese, Tajik presidents agree to accelerate gas pipeline construction #Tajikistan #China , Chinese president raises proposal on #SCO cooperation #China, Xi Jinping attends 13th SCO summit in Bishkek, #Kyrgyzstan #China","Xi Jinping, Almazbek Atambaev, Xi Jinping, Zhantoro Satybaldiev, Xi Jinping, Asylbek Jeenbekov, Xi Jinping, Almazbek Atambaev, Xi Jinping, Jantoro Satybaldiev, Xi Jinping, Almazbek Atambaev, Xi Jinping, Hassan Rouhani, Xi Jinping, Tsakhia Elbegdorj, Xi Jinping, Emomali Rakhmon, Xi Jinping, Xi Jinping, Wang Yi, Yang Jiechi",10.9.2013 - 13.9.2013,13.9.2013,13.9.2013,TRUE,13.9.2013,"September 13, 2013",Kyrgyzstan,Bishkek,,http://news.xinhuanet.com/english/photo/2013-09/14/c_132719533.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=18001
